order_id,customer_id,product_id,category,quantity,price,order_date,total_amount,payment_method,country,order_year,order_month,order_day,order_dayofweek
ORDER_000001,CUST_00772,PROD_0126,Beauty,2,79.97,2023-03-11,159.94,Credit Card,UK,2023,3,11,Saturday
ORDER_000002,CUST_00899,PROD_0016,Beauty,2,306.56,2023-06-20,613.12,NetBanking,USA,2023,6,20,Tuesday
ORDER_000003,CUST_00334,PROD_0015,Home,2,403.54,2024-08-23,807.08,NetBanking,Australia,2024,8,23,Friday
ORDER_000004,CUST_00623,PROD_0116,Home,2,190.34,2023-06-28,380.68,Debit Card,India,2023,6,28,Wednesday
ORDER_000005,CUST_00516,PROD_0164,Beauty,1,199.87,2023-07-10,199.87,UPI,India,2023,7,10,Monday
ORDER_000006,CUST_00150,PROD_0120,Beauty,1,244.3,2024-03-30,244.3,NetBanking,USA,2024,3,30,Saturday
ORDER_000007,CUST_00343,PROD_0172,Sports,1,95.59,2023-03-13,95.59,NetBanking,Germany,2023,3,13,Monday
ORDER_000008,CUST_00138,PROD_0077,Electronics,1,370.53,2024-11-20,370.53,COD,Australia,2024,11,20,Wednesday
ORDER_000009,CUST_00199,PROD_0129,Toys,1,393.49,2023-03-23,393.49,Credit Card,USA,2023,3,23,Thursday
ORDER_000010,CUST_00963,PROD_0022,Clothing,1,221.46,2024-11-04,221.46,Credit Card,Germany,2024,11,4,Monday
ORDER_000011,CUST_00440,PROD_0180,Home,1,345.67,2024-05-03,345.67,NetBanking,India,2024,5,3,Friday
ORDER_000012,CUST_00001,PROD_0145,Home,1,75.04,2024-02-23,75.04,COD,Germany,2024,2,23,Friday
ORDER_000013,CUST_00835,PROD_0139,Home,3,351.1,2024-04-24,1053.3,Debit Card,Australia,2024,4,24,Wednesday
ORDER_000014,CUST_00898,PROD_0041,Electronics,1,228.59,2024-09-05,228.59,Credit Card,Canada,2024,9,5,Thursday
ORDER_000015,CUST_00717,PROD_0189,Beauty,2,388.59,2023-05-29,777.18,Debit Card,India,2023,5,29,Monday
ORDER_000016,CUST_00257,PROD_0040,Electronics,1,464.48,2024-06-08,464.48,UPI,Canada,2024,6,8,Saturday
ORDER_000017,CUST_00012,PROD_0047,Toys,1,493.26,2024-03-15,493.26,Debit Card,Canada,2024,3,15,Friday
ORDER_000018,CUST_00681,PROD_0043,Beauty,1,164.04,2023-07-13,164.04,COD,USA,2023,7,13,Thursday
ORDER_000019,CUST_00281,PROD_0055,Clothing,1,102.95,2024-05-07,102.95,UPI,USA,2024,5,7,Tuesday
ORDER_000020,CUST_00535,PROD_0197,Beauty,1,441.86,2024-08-22,441.86,UPI,UK,2024,8,22,Thursday
ORDER_000021,CUST_00564,PROD_0199,Toys,1,213.97,2023-10-16,213.97,Debit Card,Germany,2023,10,16,Monday
ORDER_000022,CUST_00191,PROD_0134,Toys,3,285.15,2024-01-04,855.45,COD,UK,2024,1,4,Thursday
ORDER_000023,CUST_00768,PROD_0084,Electronics,1,280.39,2024-06-12,280.39,NetBanking,UK,2024,6,12,Wednesday
ORDER_000024,CUST_00849,PROD_0071,Electronics,1,419.13,2023-08-22,419.13,NetBanking,Germany,2023,8,22,Tuesday
ORDER_000025,CUST_00364,PROD_0180,Toys,1,386.29,2024-02-27,386.29,Debit Card,India,2024,2,27,Tuesday
ORDER_000026,CUST_00884,PROD_0178,Sports,1,64.72,2024-04-09,64.72,Credit Card,UK,2024,4,9,Tuesday
ORDER_000027,CUST_00869,PROD_0085,Beauty,1,67.96,2023-06-22,67.96,Credit Card,Germany,2023,6,22,Thursday
ORDER_000028,CUST_00424,PROD_0120,Sports,1,160.5,2024-10-27,160.5,COD,USA,2024,10,27,Sunday
ORDER_000029,CUST_00827,PROD_0113,Clothing,1,225.64,2023-10-28,225.64,Credit Card,Canada,2023,10,28,Saturday
